GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
machine,fr.imt.shay.machine,Main,7,0,0,0,3,0,2,0,2,0
machine,fr.imt.shay.machine.machine.component,Tank,6,29,0,0,2,10,2,4,2,4
machine,fr.imt.shay.machine.machine.component,WaterPump,3,37,0,0,1,11,1,3,1,3
machine,fr.imt.shay.machine.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
machine,fr.imt.shay.machine.machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
machine,fr.imt.shay.machine.machine.component,BeanTank,0,23,0,0,0,9,0,4,0,4
machine,fr.imt.shay.machine.machine.component,CoffeeGrinder,0,32,0,0,0,10,0,3,0,3
machine,fr.imt.shay.machine.machine.component,SteamPipe,11,6,0,0,5,3,3,1,3,1
machine,fr.imt.shay.machine.machine,CoffeeMachine,3,270,0,18,1,71,1,29,1,20
machine,fr.imt.shay.machine.machine,EspressoCoffeeMachine,2,127,2,16,0,25,2,9,0,2
machine,fr.imt.shay.machine.machine.exception,LackOfWaterInTankException,0,4,0,0,0,2,0,1,0,1
machine,fr.imt.shay.machine.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,0,4,0,0,0,2,0,1,0,1
machine,fr.imt.shay.machine.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,0,4,0,0,0,2,0,1,0,1
machine,fr.imt.shay.machine.machine.exception,MachineNotPluggedException,0,4,0,0,0,2,0,1,0,1
